date,data
2011-04-17:19:50:00,7.470000000000001
2011-04-17:19:55:00,7.199999999999999
2011-04-17:20:00:00,8.67
2011-04-17:20:05:00,7.245
2011-04-17:20:10:00,5.46
2011-04-17:20:15:00,5.82
2011-04-17:20:20:00,6.584999999999999
2011-04-17:20:25:00,3.99
2011-04-17:20:30:00,5.535
2011-04-17:20:35:00,6.345000000000001
2011-04-17:20:40:00,4.59
2011-04-17:20:45:00,4.4399999999999995
2011-04-17:20:50:00,3.66
2011-04-17:20:55:00,5.85
2011-04-17:21:00:00,33.315
2011-04-17:21:05:00,8.865
2011-04-17:21:10:00,6.5249999999999995
2011-04-17:21:15:00,7.9350000000000005
2011-04-17:21:20:00,4.6049999999999995
2011-04-17:21:25:00,5.22
2011-04-17:21:30:00,5.9399999999999995
2011-04-17:21:35:00,3.81
2011-04-17:21:40:00,4.125
2011-04-17:21:45:00,6.09
2011-04-17:21:50:00,4.0200000000000005
2011-04-17:21:55:00,3.75
2011-04-17:22:00:00,6.779999999999999
2011-04-17:22:05:00,3.585
2011-04-17:22:10:00,3.84
2011-04-17:22:15:00,4.83
2011-04-17:22:20:00,5.97
2011-04-17:22:25:00,3.75
2011-04-17:22:30:00,6.5249999999999995
2011-04-17:22:35:00,3.7350000000000003
2011-04-17:22:40:00,3.33
2011-04-17:22:45:00,4.035
2011-04-17:22:50:00,3.42
2011-04-17:22:55:00,2.505
2011-04-17:23:00:00,23.19
2011-04-17:23:05:00,14.129999999999999
2011-04-17:23:10:00,5.265
2011-04-17:23:15:00,4.68
2011-04-17:23:20:00,4.545
2011-04-17:23:25:00,2.88
2011-04-17:23:30:00,3.0
2011-04-17:23:35:00,4.275
2011-04-17:23:40:00,2.835
2011-04-17:23:45:00,3.615
2011-04-17:23:50:00,2.715
2011-04-17:23:55:00,6.465
2011-04-18:00:00:00,4.17
2011-04-18:00:05:00,2.325
2011-04-18:00:10:00,3.3449999999999998
2011-04-18:00:15:00,3.045
2011-04-18:00:20:00,2.7750000000000004
2011-04-18:00:25:00,3.63
2011-04-18:00:30:00,9.33
2011-04-18:00:35:00,3.1049999999999995
2011-04-18:00:40:00,2.8499999999999996
2011-04-18:00:45:00,4.1850000000000005
2011-04-18:00:50:00,2.52
2011-04-18:00:55:00,2.7750000000000004
2011-04-18:01:00:00,20.955000000000002
2011-04-18:01:05:00,3.63
2011-04-18:01:10:00,2.5949999999999998
2011-04-18:01:15:00,6.8999999999999995
2011-04-18:01:20:00,2.43
2011-04-18:01:25:00,2.535
2011-04-18:01:30:00,5.46
2011-04-18:01:35:00,2.565
2011-04-18:01:40:00,2.325
2011-04-18:01:45:00,7.455
2011-04-18:01:50:00,4.035
2011-04-18:01:55:00,3.1500000000000004
2011-04-18:02:00:00,5.3549999999999995
2011-04-18:02:05:00,2.175
2011-04-18:02:10:00,1.6800000000000002
2011-04-18:02:15:00,1.98
2011-04-18:02:20:00,2.13
2011-04-18:02:25:00,1.455
2011-04-18:02:30:00,1.7999999999999998
2011-04-18:02:35:00,1.995
2011-04-18:02:40:00,1.815
2011-04-18:02:45:00,1.77
2011-04-18:02:50:00,1.095
2011-04-18:02:55:00,2.145
2011-04-18:03:00:00,13.200000000000001
2011-04-18:03:05:00,1.5
2011-04-18:03:10:00,1.8900000000000001
2011-04-18:03:15:00,1.905
2011-04-18:03:20:00,1.23
2011-04-18:03:25:00,2.085
2011-04-18:03:30:00,1.995
2011-04-18:03:35:00,1.3800000000000001
2011-04-18:03:40:00,2.4749999999999996
2011-04-18:03:45:00,1.875
2011-04-18:03:50:00,1.26
2011-04-18:03:55:00,1.455
2011-04-18:04:00:00,3.09
2011-04-18:04:05:00,1.35
2011-04-18:04:10:00,3.795
2011-04-18:04:15:00,3.0149999999999997
2011-04-18:04:20:00,1.665
2011-04-18:04:25:00,4.845
2011-04-18:04:30:00,2.8649999999999998
2011-04-18:04:35:00,2.0999999999999996
2011-04-18:04:40:00,1.905
2011-04-18:04:45:00,3.285
2011-04-18:04:50:00,2.6550000000000002
2011-04-18:04:55:00,3.09
2011-04-18:05:00:00,12.645
2011-04-18:05:05:00,3.465
2011-04-18:05:10:00,2.3850000000000002
2011-04-18:05:15:00,3.8249999999999997
2011-04-18:05:20:00,3.0749999999999997
2011-04-18:05:25:00,3.2249999999999996
2011-04-18:05:30:00,5.715
2011-04-18:05:35:00,3.1049999999999995
2011-04-18:05:40:00,3.2249999999999996
2011-04-18:05:45:00,3.3600000000000003
2011-04-18:05:50:00,4.005
2011-04-18:05:55:00,13.200000000000001
2011-04-18:06:00:00,16.305
2011-04-18:06:05:00,17.745
2011-04-18:06:10:00,17.88
2011-04-18:06:15:00,12.315000000000001
2011-04-18:06:20:00,8.175
2011-04-18:06:25:00,8.504999999999999
2011-04-18:06:30:00,9.015
2011-04-18:06:35:00,23.25
2011-04-18:06:40:00,5.88
2011-04-18:06:45:00,6.09
2011-04-18:06:50:00,13.32
2011-04-18:06:55:00,14.399999999999999
2011-04-18:07:00:00,34.155
2011-04-18:07:05:00,12.450000000000001
2011-04-18:07:10:00,2.79
2011-04-18:07:15:00,4.74
2011-04-18:07:20:00,2.7
2011-04-18:07:25:00,3.9000000000000004
2011-04-18:07:30:00,3.63
2011-04-18:07:35:00,1.77
2011-04-18:07:40:00,1.7249999999999999
2011-04-18:07:45:00,4.305
2011-04-18:07:50:00,2.31
2011-04-18:07:55:00,1.605
2011-04-18:08:00:00,11.97
2011-04-18:08:05:00,2.835
2011-04-18:08:10:00,2.4899999999999998
2011-04-18:08:15:00,5.49
2011-04-18:08:20:00,3.195
2011-04-18:08:25:00,4.41
2011-04-18:08:30:00,6.18
2011-04-18:08:35:00,5.5649999999999995
2011-04-18:08:40:00,4.665
2011-04-18:08:45:00,4.38
2011-04-18:08:50:00,5.07
2011-04-18:08:55:00,4.1850000000000005
2011-04-18:09:00:00,28.56
2011-04-18:09:05:00,17.445
2011-04-18:09:10:00,8.445
2011-04-18:09:15:00,6.285
2011-04-18:09:20:00,4.335
2011-04-18:09:25:00,5.5649999999999995
2011-04-18:09:30:00,7.949999999999999
2011-04-18:09:35:00,7.7250000000000005
2011-04-18:09:40:00,6.39
2011-04-18:09:45:00,5.925000000000001
2011-04-18:09:50:00,10.334999999999999
2011-04-18:09:55:00,9.345
2011-04-18:10:00:00,9.18
2011-04-18:10:05:00,12.059999999999999
2011-04-18:10:10:00,12.315000000000001
2011-04-18:10:15:00,8.43
2011-04-18:10:20:00,7.9350000000000005
2011-04-18:10:25:00,10.485
2011-04-18:10:30:00,14.52
2011-04-18:10:35:00,16.065
2011-04-18:10:40:00,15.809999999999999
2011-04-18:10:45:00,14.895
2011-04-18:10:50:00,21.15
2011-04-18:10:55:00,18.48
2011-04-18:11:00:00,48.84
2011-04-18:11:05:00,27.990000000000002
2011-04-18:11:10:00,17.94
2011-04-18:11:15:00,16.71
2011-04-18:11:20:00,20.445
2011-04-18:11:25:00,20.669999999999998
2011-04-18:11:30:00,18.39
2011-04-18:11:35:00,23.085
2011-04-18:11:40:00,18.27
2011-04-18:11:45:00,19.095
2011-04-18:11:50:00,24.69
2011-04-18:11:55:00,25.650000000000002
2011-04-18:12:00:00,23.64
2011-04-18:12:05:00,20.46
2011-04-18:12:10:00,19.605
2011-04-18:12:15:00,16.515
2011-04-18:12:20:00,19.485
2011-04-18:12:25:00,22.215
2011-04-18:12:30:00,23.265
2011-04-18:12:35:00,21.63
2011-04-18:12:40:00,25.335
2011-04-18:12:45:00,18.945
2011-04-18:12:50:00,18.96
2011-04-18:12:55:00,23.985
2011-04-18:13:00:00,47.025000000000006
2011-04-18:13:05:00,28.11
2011-04-18:13:10:00,20.04
2011-04-18:13:15:00,25.17
2011-04-18:13:20:00,27.839999999999996
2011-04-18:13:25:00,19.44
2011-04-18:13:30:00,27.884999999999998
2011-04-18:13:35:00,21.21
2011-04-18:13:40:00,18.54
2011-04-18:13:45:00,19.575000000000003
2011-04-18:13:50:00,18.63
2011-04-18:13:55:00,20.445
2011-04-18:14:00:00,17.955000000000002
2011-04-18:14:05:00,19.185
2011-04-18:14:10:00,16.5
2011-04-18:14:15:00,16.785
2011-04-18:14:20:00,16.634999999999998
2011-04-18:14:25:00,17.13
2011-04-18:14:30:00,15.27
2011-04-18:14:35:00,15.794999999999998
2011-04-18:14:40:00,15.24
2011-04-18:14:45:00,17.805
2011-04-18:14:50:00,19.56
2011-04-18:14:55:00,15.899999999999999
2011-04-18:15:00:00,49.14
2011-04-18:15:05:00,25.424999999999997
2011-04-18:15:10:00,22.095
2011-04-18:15:15:00,21.66
2011-04-18:15:20:00,19.56
2011-04-18:15:25:00,17.055
2011-04-18:15:30:00,20.79
2011-04-18:15:35:00,18.525
2011-04-18:15:40:00,24.119999999999997
2011-04-18:15:45:00,24.435
2011-04-18:15:50:00,22.38
2011-04-18:15:55:00,24.96
2011-04-18:16:00:00,22.38
2011-04-18:16:05:00,18.075000000000003
2011-04-18:16:10:00,19.335
2011-04-18:16:15:00,26.25
2011-04-18:16:20:00,22.35
2011-04-18:16:25:00,24.705
2011-04-18:16:30:00,27.945
2011-04-18:16:35:00,25.799999999999997
2011-04-18:16:40:00,21.6
2011-04-18:16:45:00,24.915
2011-04-18:16:50:00,21.015
2011-04-18:16:55:00,23.025
2011-04-18:17:00:00,53.13
2011-04-18:17:05:00,35.955
2011-04-18:17:10:00,19.634999999999998
2011-04-18:17:15:00,18.75
2011-04-18:17:20:00,19.740000000000002
2011-04-18:17:25:00,21.27
2011-04-18:17:30:00,22.035
2011-04-18:17:35:00,29.25
2011-04-18:17:40:00,24.75
2011-04-18:17:45:00,21.435
2011-04-18:17:50:00,21.645
2011-04-18:17:55:00,19.32
2011-04-18:18:00:00,24.21
2011-04-18:18:05:00,19.544999999999998
2011-04-18:18:10:00,21.615000000000002
2011-04-18:18:15:00,17.669999999999998
2011-04-18:18:20:00,17.94
2011-04-18:18:25:00,16.59
2011-04-18:18:30:00,19.38
2011-04-18:18:35:00,14.355
2011-04-18:18:40:00,17.505
2011-04-18:18:45:00,21.78
2011-04-18:18:50:00,15.600000000000001
2011-04-18:18:55:00,17.655
2011-04-18:19:00:00,51.12
2011-04-18:19:05:00,22.77
2011-04-18:19:10:00,15.899999999999999
2011-04-18:19:15:00,14.580000000000002
2011-04-18:19:20:00,10.995000000000001
2011-04-18:19:25:00,13.799999999999999
2011-04-18:19:30:00,10.68
2011-04-18:19:35:00,11.805
